"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"Vuosi";Julkisyhteisöjen menot tehtävittäin
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1990";19025
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1991";20823
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1992";20614
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1993";20009
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1994";20363
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1995";21620
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1996";22666
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1997";23660
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1998";24836
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"1999";25766
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2000";26987
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2001";28880
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2002";30692
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2003";32081
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2004";33704
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2005";35340
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2006";36944
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2007";38935
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2008";41987
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2009";43840
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2010";44700
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2011";46491
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2012";48682
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2013";50311
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2014";50711
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";"2015";51086
