"Vuosi";"Jakson sademaara";"Sademaara prosentteina 1981-2010 keskiarvosta"
1961;50,8;103
1962;72,2;146
1963;42,2;85
1964;26,3;53
1965;59,7;121
1966;31;63
1967;32,7;66
1968;32,7;66
1969;44,5;90
1970;31,9;64
1971;36,2;73
1972;9,6;19
1973;14,7;30
1974;41,5;84
1975;53,5;108
1976;31,8;64
1977;36,2;73
1978;21;42
1979;61,6;124
1980;25,1;51
1981;63,2;128
1982;32,9;66
1983;73,9;149
1984;87,4;177
1985;31,3;63
1986;55,2;112
1987;21,9;44
1988;46,8;95
1989;48,2;97
1990;83;168
1991;62,1;125
1992;39,2;79
1993;51,9;105
1994;51,9;105
1995;52,6;106
1996;11;22
1997;55,3;112
1998;55,5;112
1999;52,5;106
2000;46,9;95
2001;35;71
2002;60,3;122
2003;40,2;81
2004;38;77
2005;89,1;180
2006;14,2;29
2007;52;105
2008;73,4;148
2009;37,6;76
2010;21,4;43
2011;52,6;106
2012;66,4;134
2013;34,9;71
2014;36;73
2015;60;121
2016;39,2;79
2017;21,9;44
